Item,Part Name,Filename,Qty,Material,Finish,Mass_g,Notes
1,Support Frame + Spherical Roller Bearing,Support Frame + Spherical Roller Bearing,1,Steel,Machined,172767.0,""
2,Spherical Roller bearing,Spherical Roller bearing,1,Steel,Machined,4105.8,""
3,Support Frame,Support Frame,1,Steel,Machined,86381.4,""
4,Blade of Shredder,Blade of Shredder,1,Steel,Machined,9210.9,""
5,Bearing Cover 1,Bearing Cover 1,1,Steel,Machined,2865.6,""
6,Bearing Cover 2,Bearing Cover 2,1,Steel,Machined,2865.6,""
7,Spacer,Spacer,1,Steel,Machined,6597.9,""
8,Hexagonal Shaft,Hexagonal Shaft,1,Steel,Machined,43964.0,""
9,Table Frame_,Table Frame_,1,Steel,Machined,2202763.4,""
10,Fixed Blade,Fixed Blade,1,Steel,Machined,4648.2,""
11,Lower Hopper,Lower Hopper,1,Steel,Machined,950428.6,""
12,upper Hopper,upper Hopper,1,Steel,Machined,1545468.8,""
